144,"Sri Sivasubramaniya Nadar College Of Engineering"
145,"Agni College Of Technology"
146,"St.Joseph's College Of Engineering"
147,"T.J. Institute Of Technology"
148,"Thangavelu Engineering College"
149,"S.R.R. Engineering College"
150,"Dhanalakshmi Srinivasan College Of Engineering And Technology"
151,"A.C.T. College Of Engineering And Technology"
152,"Sri Sai Ram Institute Of Technology"
153,"St. Joseph College Of Engineering"
154,"Aksheyaa College Of Engineering"
155,"Vi Institute Of Technology"
156,"Balamani Arunachalam Educational & Charitable Trust's Group Of Inst."
157,"Sri Krishna Institute Of Technology"
158,"Chennai Institute Of Technology"
159,"Mohamed Sathak A.J. Academy Of Architecture"
160,"Adhiparasakthi Engineering College"
161,"Dhanalakshmi College Of Engineering"
162,"G.K.M. College Of Engineering And Technology"
163,"Karpaga Vinayaga College Of Engineering And Technology"
164,"Madha Engineering College"
165,"Sri Venkateswaraa College Of Technology"
166,"Prince Shri Venkateshwara Padmavathy Engineering College"
167,"Shri Andal Alagar College Of Engineering"
168,"Sri Lakshmi Ammal Engineering College"
169,"Sri Sairam Engineering College"
170,"Tagore Engineering College"
171,"Valliammai Engineering College"
172,"Asan Memorial College Of Engineering And Technology"
173,"Dhaanish Ahmed College Of Engineering"
174,"Sri Ramanujar Engineering College"
175,"Sri Krishna Engineering College"
176,"Gopal Ramalingam Memorial Engineering College"
177,"New Prince Shri Bhavani College Of Engineering And Technology"
178,"Balaji Institute Of Engineering And Technology"
179,"Rrase College Of Engineering"
180,"Prince Dr.K.Vasudevan College Of Engineering And Technology"
181,"Lord Ayyappa Institute Of Engineering And Technology"
182,"Chendu College Of Engineering And Technology"
183,"Peri Institute Of Technology"
184,"Apollo Priyadarshanam Institute Of Technology"
185,"Thirumalai Engineering College"
186,"University College Of Engineering, Nagercoil"
187,"Rohini College Of Engineering And Technology"
188,"Sigma College Of Architecture"
189,"Stella Mary's College Of Engineering"
190,"Maria College Of Engineering And Technology"
191,"Mar Ephraem College Of Engineering And Technology"
192,"M.E.T Engineering College"
193,"Immanuel Arasar J J College Of Engineering"
194,"Sivaji College Of Engineering And Technology"
195,"Satyam College Of Engineering And Technology"
196,"Arunachala College Of Engineering For Women"
197,"Vins Christian Women's College Of Engineering"
198,"Dmi Engineering College"
199,"Rajas International Institute Of Technology For Women"
200,"Tamizhan College Of Engineering And Technology"
201,"C.S.I. Institute Of Technology"
202,"Jayamatha Engineering College"
203,"St.Xavier's Catholic College Of Engineering"
204,"Sun College Of Engineering And Technology"
205,"Narayanaguru College Of Engineering"
206,"Udaya School Of Engineering"
207,"Ponjesly College Of Engineering"
208,"Vins Christian College Of Engineering"
209,"Lord Jegannath College Of Engineering And Technology"
210,"Marthandam College Of Engineering And Technology"
211,"K N S K College Of Engineering"
212,"James College Of Engineering And Technology"
213,"Bethlahem Institute Of Engineering"
214,"Loyola Institute Of Technology And Science"
215,"Annai Vailankanni College Of Engineering"
216,"N.S.N. College Of Engineering And Technology"
217,"Cheran College Of Engineering"
218,"Arulmuruga Technical Campus"
219,"Cheran School Of Architecture"
220,"M.Kumarasamy College Of Engineering (Autonomous)"
221,"V.S.B. Engineering College"
222,"Chettinad College Of Engineering And Technology"
